conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1916723565535138026,Mon Apr 28 06:26:16 +0000 2025,0,@tanyakanrl Paham bagian lesbi cari gay yg sesama muslim biar tetep jalan nikah nya tapi masalahnya kenapa ada childfree. Emang bakal begituan di ranjang?? ,1916740732099977325,,tanyakanrl,in,,0,0,0,https://x.com/arorossy/status/1916740732099977325,70327217,arorossy
1916739673252135220,Mon Apr 28 06:22:04 +0000 2025,5,guys kalo ada cowo (pure gay) yg mau lavender marriage karena kondisi info dong iam a lesbian 28yo dituntut nikah sama keluarga tidak untuk selamanya (divorce) dalam waktu tertentu dan childfree diutamakan muslim dan area jogja/solo yaa. -sf,1916739673252135220,,,in,KIRIM MFS DI XFESS,5,8,0,https://x.com/sapphicsfess/status/1916739673252135220,3273226213,sapphicsfess
1916738345734193338,Mon Apr 28 06:16:47 +0000 2025,5,Kadang yang katanya gak laku malah yang paling bahagia Hidup itu pilihan Mau nikah atau childfree yang penting lo beneran happy https://t.co/VjSR9Tk4aC,1916738345734193338,https://pbs.twimg.com/media/GpmfXKWaIAAMHy-.jpg,,in,,0,1,2,https://x.com/hariantimeline/status/1916738345734193338,1442049744797274122,hariantimeline
1916732415445467254,Mon Apr 28 05:53:13 +0000 2025,0,Aku childfree kalau belum financial freedom,1916732415445467254,,,in,UNDER 20 DNI,0,0,0,https://x.com/artviego/status/1916732415445467254,1875960360349609984,artviego
1916729085654712779,Mon Apr 28 05:39:59 +0000 2025,6,Hope you find him soon. Orang pada marah2 giliran sama yang beneran jujur. Marah2 juga pas ada yang gay ngaku straight dan terlanjur nikahin yang straight. Marah2 juga sama yang gamau nikah. Marah2 juga sama yang pengen childfree. You can't please everyone. Do what you need to.,1916729085654712779,,,in,"Cengkareng, Indonesia",0,0,3,https://x.com/sbrnchrnns/status/1916729085654712779,1161646501,sbrnchrnns
1916723565535138026,Mon Apr 28 05:18:03 +0000 2025,869, guys kalo ada cowo (pure gay) yg mau lavender marriage karena kondisi info dong iam a lesbian 28yo dituntut nikah sama keluarga tidak untuk selamanya (divorce) dalam waktu tertentu dan childfree diutamakan muslim dan area jogja/solo yaa.,1916723565535138026,,,in,Indonesia,129,369,36,https://x.com/tanyakanrl/status/1916723565535138026,1331650559518990336,tanyakanrl
1916711433477226716,Mon Apr 28 04:30:58 +0000 2025,0,kalo ini foto caca gugun dan anaknya gugun (caca ga punya anak soalnya childfree) https://t.co/ezI1Xm8kR1,1916711715242401835,https://pbs.twimg.com/media/GpmHJaTbsAAP2Qi.jpg,cloudysttea,in,FREE PALESTINE ,0,1,0,https://x.com/cloudysttea/status/1916711715242401835,1670437071906025473,cloudysttea
1916708450022707653,Mon Apr 28 04:17:59 +0000 2025,0,Woilah cik pendewasaan adalah ketika lu berfikir sebaiknya Naruto childfree aja,1916708450022707653,,,in,"(18) FUB free, Inappropriate.",0,1,0,https://x.com/jisbeok/status/1916708450022707653,1372519855782469636,jisbeok
1916682395815678213,Mon Apr 28 04:14:38 +0000 2025,0,@sapphicslyfe aku suka anak kecil tapi bener kata kak el ngurus anak itu tanggung jawabnya berat. jadi kalo misalnya emg ga sanggup better childfree sih,1916707604782538925,,sapphicslyfe,in,mdni.,0,1,0,https://x.com/swedija/status/1916707604782538925,729902180547870721,swedija
1916705697133416772,Mon Apr 28 04:07:03 +0000 2025,0,aku si maunya childfree tapi kalo pacarku mau punya anak aku mau kok djajak kompromi buat punya anak.,1916705697133416772,,,in,"Makassar, Indonesia",0,0,0,https://x.com/nanaanino/status/1916705697133416772,1468186906718441475,nanaanino
